workers,corrida,tiempo_segundos
15,1,97.7799
15,2,97.2517
15,3,96.4491
15,4,96.7997
15,5,97.1357
15,6,96.9118
15,7,97.8766
15,8,97.2101
15,9,97.2627
15,10,97.5843
15,11,97.3118
15,12,97.4218
15,13,97.5057
15,14,98.0109
15,15,97.1822
15,16,97.8955
15,17,97.4909
15,18,97.6716
15,19,97.2754
15,20,98.0288
15,21,97.6553
15,22,97.9846
15,23,97.3095
15,24,98.1385
15,25,97.2768
15,26,97.4968
15,27,97.6004
15,28,97.4559
15,29,97.1104
15,30,97.4031
15,31,97.4623
15,32,97.6967
15,33,97.2841
15,34,97.2241
15,35,96.5433
15,36,96.8718
15,37,96.6727
15,38,96.6451
15,39,96.3546
15,40,96.5485
15,41,97.3772
15,42,1879.7025
15,43,96.2477
15,44,98.4879
15,45,98.9737
15,46,98.7379
15,47,99.2603
15,48,98.9243
15,49,99.8456
15,50,99.7098
15,51,99.2236
15,52,98.4684
15,53,99.6223
15,54,99.2223
15,55,99.3176
15,56,99.0846
15,57,99.0578
15,58,98.1550
15,59,98.7203
15,60,97.6860
15,61,98.4973
15,62,98.9418
15,63,99.3913
15,64,99.4750
15,65,99.5197
15,66,98.9965
15,67,98.8634
15,68,98.9822
15,69,99.4923
15,70,98.8438
15,71,99.0101
15,72,99.1521
15,73,98.8702
15,74,99.5752
15,75,99.2375
15,76,98.8399
15,77,99.0480
15,78,99.6404
15,79,98.3496
15,80,99.5952
15,81,98.9288
15,82,98.3095
15,83,99.3224
15,84,99.0031
15,85,99.2441
15,86,99.6265
15,87,99.6014
15,88,98.8507
15,89,99.1177
15,90,99.4629
15,91,98.8956
15,92,98.8556
15,93,99.2235
15,94,97.8470
15,95,98.8696
15,96,99.3802
15,97,98.5755
15,98,98.7275
15,99,98.6498
15,100,98.7088
30,1,49.6521
30,2,50.1607
30,3,49.2836
30,4,49.6330
30,5,49.6207
30,6,49.4502
30,7,49.5265
30,8,49.8844
30,9,49.4588
30,10,49.0749
30,11,50.0781
30,12,49.0121
30,13,49.0630
30,14,49.4759
30,15,50.1983
30,16,49.2578
30,17,49.7702
30,18,49.5196
30,19,49.9638
30,20,49.2523
30,21,49.1882
30,22,49.9683
30,23,50.2879
30,24,49.1443
30,25,48.8721
30,26,49.6872
30,27,49.7061
30,28,49.3910
30,29,49.5955
30,30,49.6261
30,31,49.5255
30,32,48.9059
30,33,49.2105
30,34,50.0328
30,35,50.2296
30,36,49.4446
30,37,49.4901
30,38,49.9321
30,39,49.3970
30,40,49.3832
30,41,48.9830
30,42,49.3144
30,43,49.6629
30,44,50.0313
30,45,49.2646
30,46,49.6881
30,47,49.8686
30,48,49.2311
30,49,49.2825
30,50,49.3482
30,51,48.7654
30,52,49.1381
30,53,48.6648
30,54,49.4923
30,55,49.9733
30,56,49.0273
30,57,49.3758
30,58,49.5237
30,59,50.2362
30,60,49.0175
30,61,48.4692
30,62,49.5304
30,63,72.0181
30,64,49.1996
30,65,48.0914
30,66,47.8655
30,67,47.7480
30,68,48.1602
30,69,47.8498
30,70,49.4925
30,71,50.2885
30,72,47.8144
30,73,46.4677
30,74,46.9110
30,75,47.1796
30,76,46.1126
30,77,49.2915
30,78,48.9943
30,79,48.0845
30,80,47.8533
30,81,47.7852
30,82,48.1017
30,83,48.1091
30,84,48.0466
30,85,47.7694
30,86,47.9275
30,87,47.9069
30,88,47.9418
30,89,47.9147
30,90,47.7591
30,91,47.9168
30,92,49.7904
30,93,48.6528
30,94,47.2338
30,95,49.1233
30,96,49.3098
30,97,50.7579
30,98,50.9637
30,99,50.7526
30,100,50.7335
45,1,34.4070
45,2,33.8804
45,3,34.1297
45,4,33.4322
45,5,33.7833
45,6,33.8151
45,7,34.0160
45,8,34.1363
45,9,34.1975
45,10,32.9643
45,11,34.1566
45,12,33.9769
45,13,33.8373
45,14,34.1094
45,15,34.1823
45,16,34.0480
45,17,34.1425
45,18,34.1915
45,19,34.1470
45,20,33.3843
45,21,32.9963
45,22,33.1080
45,23,34.4057
45,24,34.9759
45,25,32.6809
45,26,32.6570
45,27,33.2093
45,28,33.2432
45,29,32.9341
45,30,32.3701
45,31,32.1863
45,32,32.1121
45,33,33.0340
45,34,32.5554
45,35,34.0204
45,36,33.0631
45,37,32.7106
45,38,31.1641
45,39,32.6726
45,40,32.3131
45,41,32.8240
45,42,32.3543
45,43,32.8982
45,44,32.3520
45,45,32.4151
45,46,32.4474
45,47,31.2427
45,48,32.2309
45,49,32.7417
45,50,32.5486
45,51,32.7438
45,52,32.2163
45,53,32.5073
45,54,32.4533
45,55,32.8619
45,56,31.6127
45,57,33.1564
45,58,32.3427
45,59,32.4038
45,60,32.0152
45,61,32.9634
45,62,31.9268
45,63,32.5941
45,64,31.9216
45,65,32.8111
45,66,32.1503
45,67,32.3982
45,68,32.3093
45,69,32.5729
45,70,32.2828
45,71,32.3971
45,72,33.0751
45,73,32.7142
45,74,32.7883
45,75,32.4549
45,76,32.3349
45,77,32.4785
45,78,32.6564
45,79,32.4891
45,80,32.0052
45,81,32.1692
45,82,32.4310
45,83,32.5196
45,84,32.4194
45,85,32.4874
45,86,32.7674
45,87,32.0523
45,88,32.3136
45,89,32.0531
45,90,32.6320
45,91,32.4843
45,92,33.5500
45,93,31.4774
45,94,31.9271
45,95,31.7927
45,96,31.5802
45,97,33.4303
45,98,31.7737
45,99,32.0611
45,100,34.4740
60,1,23.4620
60,2,25.7952
60,3,23.3353
60,4,23.6107
60,5,23.7502
60,6,23.0878
60,7,23.0755
60,8,23.3959
60,9,25.0916
60,10,23.0843
60,11,25.5081
60,12,23.5565
60,13,23.3504
60,14,23.2804
60,15,25.1029
60,16,23.4542
60,17,23.3352
60,18,23.5219
60,19,23.4186
60,20,23.3344
60,21,25.2303
60,22,23.6980
60,23,25.3496
60,24,23.5234
60,25,23.2718
60,26,25.6274
60,27,23.4695
60,28,23.5412
60,29,23.4344
60,30,23.6386
60,31,23.1529
60,32,23.2353
60,33,25.5148
60,34,25.6385
60,35,23.4941
60,36,23.5321
60,37,25.4498
60,38,23.3629
60,39,25.2225
60,40,23.4019
60,41,23.6169
60,42,23.6261
60,43,23.0771
60,44,23.3736
60,45,25.5088
60,46,23.6067
60,47,25.0762
60,48,23.3648
60,49,23.1592
60,50,23.1250
60,51,23.2333
60,52,23.6437
60,53,23.3142
60,54,23.3047
60,55,24.0269
60,56,23.2961
60,57,25.1017
60,58,23.2930
60,59,25.0781
60,60,23.4991
60,61,23.4186
60,62,25.2347
60,63,25.8776
60,64,23.4737
60,65,23.3745
60,66,25.4052
60,67,23.7332
60,68,25.5977
60,69,23.2653
60,70,23.4721
60,71,23.3568
60,72,23.2631
60,73,23.3218
60,74,23.6930
60,75,22.9551
60,76,25.3540
60,77,23.3994
60,78,23.1221
60,79,25.1930
60,80,24.5906
60,81,23.8561
60,82,25.8370
60,83,23.1825
60,84,23.2500
60,85,23.4307
60,86,23.5214
60,87,23.1384
60,88,25.5240
60,89,23.3967
60,90,22.8836
60,91,23.3925
60,92,25.1225
60,93,23.7827
60,94,23.3413
60,95,24.7423
60,96,25.4887
60,97,23.2028
60,98,25.1079
60,99,23.2839
60,100,23.6303
75,1,19.8989
75,2,18.6711
75,3,18.5491
75,4,18.3516
75,5,18.4114
75,6,18.3926
75,7,18.6521
75,8,18.4035
75,9,18.6371
75,10,18.2969
75,11,18.4631
75,12,18.6483
75,13,18.4158
75,14,18.5353
75,15,18.4418
75,16,18.5646
75,17,18.4320
75,18,18.3941
75,19,18.8266
75,20,18.8828
75,21,20.0977
75,22,18.4905
75,23,20.4610
75,24,18.6438
75,25,19.8456
75,26,19.5417
75,27,20.1721
75,28,18.8185
75,29,18.6063
75,30,20.7322
75,31,18.3828
75,32,18.7135
75,33,18.6880
75,34,18.4978
75,35,20.2813
75,36,18.3637
75,37,18.5170
75,38,18.0882
75,39,18.4393
75,40,18.5852
75,41,18.4245
75,42,20.2937
75,43,18.5248
75,44,18.6667
75,45,20.0617
75,46,18.4650
75,47,20.6817
75,48,18.4497
75,49,20.4550
75,50,18.6875
75,51,18.6557
75,52,18.4694
75,53,18.4756
75,54,19.0220
75,55,19.8965
75,56,18.7051
75,57,18.3342
