corrida,registros_procesados,tiempo_segundos
1,20000,30.7589
2,20000,26.5380
3,20000,26.1958
4,20000,26.2145
5,20000,25.8682
6,20000,26.8579
7,20000,27.3630
8,20000,26.3927
9,20000,26.0127
10,20000,25.5188
11,20000,25.4977
12,20000,26.4287
13,20000,26.3762
14,20000,26.2438
15,20000,26.1648
16,20000,26.2198
17,20000,24.7424
18,20000,26.2495
19,20000,26.2309
20,20000,26.3293
21,20000,26.7670
22,20000,26.3768
23,20000,26.1752
24,20000,26.2095
25,20000,26.0459
26,20000,26.3719
27,20000,26.0512
28,20000,26.0620
29,20000,26.2199
30,20000,26.0754
31,20000,26.6339
32,20000,26.5299
33,20000,26.4306
34,20000,26.4464
35,20000,26.3982
36,20000,26.6681
37,20000,26.6184
38,20000,26.0254
39,20000,26.3852
40,20000,26.3658
41,20000,26.5196
42,20000,26.0872
43,20000,26.1890
44,20000,26.1782
45,20000,26.0322
46,20000,26.4212
47,20000,26.2163
48,20000,26.1239
49,20000,26.4713
50,20000,26.2951
51,20000,26.7058
52,20000,26.2442
53,20000,26.6169
54,20000,26.4847
55,20000,26.3199
56,20000,26.4709
57,20000,26.3639
58,20000,26.6283
59,20000,26.4455
60,20000,26.3202
61,20000,26.6926
62,20000,26.3324
63,20000,26.3470
64,20000,26.2347
65,20000,26.1835
66,20000,26.6726
67,20000,26.0215
68,20000,26.6892
69,20000,26.7547
70,20000,26.1558
71,20000,26.4770
72,20000,26.6790
73,20000,26.3173
74,20000,26.6152
75,20000,26.4653
76,20000,26.4891
77,20000,26.3745
78,20000,26.1476
79,20000,26.3315
80,20000,25.9524
81,20000,26.7199
82,20000,26.3809
83,20000,26.2094
84,20000,25.9274
85,20000,26.0391
86,20000,26.1395
87,20000,26.2117
88,20000,26.2142
89,20000,26.8018
90,20000,26.2020
91,20000,26.6973
92,20000,26.3918
93,20000,26.5035
94,20000,26.2847
95,20000,26.2552
96,20000,26.3868
97,20000,26.4180
98,20000,26.5738
99,20000,26.1773
100,20000,26.1086
