[eda-original] 2026-05-10 04:10:11,936 INFO [dataset.csv] Filas analizadas: 100000
[eda-original] 2026-05-10 04:10:12,381 INFO Streaming EDA completado para dataset.csv: 149387 filas
[eda-original] 2026-05-10 04:10:12,381 INFO Cargando dataset.csv con Pandas...
[eda-original] 2026-05-10 04:10:12,603 ERROR Error cargando datasets\raw\dataset.csv: 'utf-8' codec can't decode byte 0xd1 in position 2: invalid continuation byte
[eda-original] 2026-05-10 04:14:47,336 INFO [dataset.csv] Filas analizadas: 100000
[eda-original] 2026-05-10 04:14:47,723 INFO Streaming EDA completado para dataset.csv: 149387 filas
[eda-original] 2026-05-10 04:14:47,724 INFO Cargando dataset.csv con Pandas...
[eda-original] 2026-05-10 04:14:48,357 INFO Cargado exitosamente con encoding: latin1
[eda-original] 2026-05-10 04:14:48,613 INFO Generando evolución histórica...
[eda-original] 2026-05-10 04:14:48,969 INFO Generando tipos de procesos...
[eda-original] 2026-05-10 04:14:49,394 INFO Generando carga por departamento...
[eda-original] 2026-05-10 04:14:49,926 INFO Generando tiempo de resolución...
[eda-original] 2026-05-10 04:14:50,927 INFO Generando tipos de resolución...
[eda-original] 2026-05-10 04:22:51,616 INFO [dataset.csv] Filas analizadas: 100000
[eda-original] 2026-05-10 04:22:52,010 INFO Streaming EDA completado para dataset.csv: 149387 filas
[eda-original] 2026-05-10 04:22:52,011 INFO Cargando dataset.csv con Pandas...
[eda-original] 2026-05-10 04:22:52,625 INFO Cargado exitosamente con encoding: latin1
[eda-original] 2026-05-10 04:22:52,904 INFO Generando evolución histórica...
[eda-original] 2026-05-10 04:22:53,253 INFO Generando tipos de procesos...
[eda-original] 2026-05-10 04:22:53,581 INFO Generando carga por departamento...
[eda-original] 2026-05-10 04:22:54,043 INFO Generando tiempo de resolución...
[eda-original] 2026-05-10 04:22:54,966 INFO Generando tipos de resolución...
[eda-original] 2026-05-10 04:22:55,138 INFO Generando heatmap Proceso vs Fallo...
[eda-original] 2026-05-10 04:27:13,377 INFO [dataset.csv] Filas analizadas: 100000
[eda-original] 2026-05-10 04:27:13,766 INFO Streaming EDA completado para dataset.csv: 149387 filas
[eda-original] 2026-05-10 04:27:13,769 INFO Cargando dataset.csv con Pandas...
[eda-original] 2026-05-10 04:27:14,378 INFO Cargado exitosamente con encoding: latin1
[eda-original] 2026-05-10 04:27:14,885 INFO Generando evolución histórica...
[eda-original] 2026-05-10 04:27:15,145 INFO Generando tipos de procesos...
[eda-original] 2026-05-10 04:27:15,506 INFO Generando carga por departamento...
[eda-original] 2026-05-10 04:27:15,999 INFO Generando tiempo de resolución...
[eda-original] 2026-05-10 04:27:16,765 INFO Generando tipos de resolución...
[eda-original] 2026-05-10 04:27:16,936 INFO Generando heatmap Proceso vs Fallo...
[eda-original] 2026-05-10 04:27:17,246 INFO Generando evolución de tiempo promedio...
[eda-original] 2026-05-10 04:27:17,447 INFO Generando tiempo por materia...
[eda-original] 2026-05-10 04:27:17,698 INFO Generando cluster Carga vs Tiempo...
[eda-original] 2026-05-10 15:20:07,457 INFO [dataset.csv] Filas analizadas: 100000
[eda-original] 2026-05-10 15:20:07,950 INFO Streaming EDA completado para dataset.csv: 149387 filas
[eda-original] 2026-05-10 15:20:07,952 INFO Cargando dataset.csv con Pandas...
[eda-original] 2026-05-10 15:20:08,642 INFO Cargado exitosamente con encoding: latin1
[eda-original] 2026-05-10 15:20:09,163 INFO Generando evolución histórica...
[eda-original] 2026-05-10 15:20:10,393 INFO Generando tipos de procesos...
[eda-original] 2026-05-10 15:20:10,842 INFO Generando carga por departamento...
[eda-original] 2026-05-10 15:20:11,412 INFO Generando tiempo de resolución...
[eda-original] 2026-05-10 15:20:12,277 INFO Generando tipos de resolución...
[eda-original] 2026-05-10 15:20:12,481 INFO Generando heatmap Proceso vs Fallo...
[eda-original] 2026-05-10 15:20:12,837 INFO Generando evolución de tiempo promedio...
[eda-original] 2026-05-10 15:20:13,073 INFO Generando tiempo por materia...
[eda-original] 2026-05-10 15:20:13,336 INFO Generando cluster Carga vs Tiempo...
[eda-original] 2026-05-10 15:25:02,306 INFO [dataset.csv] Filas analizadas: 100000
[eda-original] 2026-05-10 15:25:02,756 INFO Streaming EDA completado para dataset.csv: 149387 filas
[eda-original] 2026-05-10 15:25:02,756 INFO Cargando dataset.csv con Pandas...
[eda-original] 2026-05-10 15:25:03,528 INFO Cargado exitosamente con encoding: latin1
[eda-original] 2026-05-10 15:25:04,049 INFO Generando evolución histórica...
[eda-original] 2026-05-10 15:25:04,406 INFO Generando tipos de procesos...
[eda-original] 2026-05-10 15:25:04,852 INFO Generando carga por departamento...
[eda-original] 2026-05-10 15:25:05,390 INFO Generando tiempo de resolución...
[eda-original] 2026-05-10 15:25:06,220 INFO Generando tipos de resolución...
[eda-original] 2026-05-10 15:25:06,408 INFO Generando heatmap Proceso vs Fallo...
[eda-original] 2026-05-10 15:25:06,769 INFO Generando evolución de tiempo promedio...
[eda-original] 2026-05-10 15:25:06,974 INFO Generando tiempo por materia...
[eda-original] 2026-05-10 15:25:07,249 INFO Generando cluster Carga vs Tiempo...
[eda-original] 2026-05-10 15:33:48,900 INFO [dataset.csv] Filas analizadas: 100000
[eda-original] 2026-05-10 15:33:49,340 INFO Streaming EDA completado para dataset.csv: 149387 filas
[eda-original] 2026-05-10 15:33:49,340 INFO Cargando dataset.csv con Pandas...
[eda-original] 2026-05-10 15:33:50,027 INFO Cargado exitosamente con encoding: latin1
[eda-original] 2026-05-10 15:33:50,532 INFO Generando evolución histórica...
[eda-original] 2026-05-10 15:33:50,877 INFO Generando tipos de procesos...
[eda-original] 2026-05-10 15:33:51,345 INFO Generando carga por departamento...
[eda-original] 2026-05-10 15:33:51,860 INFO Generando tiempo de resolución...
[eda-original] 2026-05-10 15:33:52,674 INFO Generando tipos de resolución...
[eda-original] 2026-05-10 15:33:52,859 INFO Generando heatmap Proceso vs Fallo...
[eda-original] 2026-05-10 15:33:53,223 INFO Generando evolución de tiempo promedio...
[eda-original] 2026-05-10 15:33:53,424 INFO Generando tiempo por materia...
[eda-original] 2026-05-10 15:33:53,711 INFO Generando cluster Carga vs Tiempo...
[eda-original] 2026-05-10 15:38:08,756 INFO [dataset.csv] Filas analizadas: 100000
[eda-original] 2026-05-10 15:38:09,221 INFO Streaming EDA completado para dataset.csv: 149387 filas
[eda-original] 2026-05-10 15:38:09,221 INFO Cargando dataset.csv con Pandas...
[eda-original] 2026-05-10 15:38:09,929 INFO Cargado exitosamente con encoding: latin1
[eda-original] 2026-05-10 15:38:10,470 INFO Generando evolución histórica...
[eda-original] 2026-05-10 15:38:10,969 INFO Generando tipos de procesos...
[eda-original] 2026-05-10 15:38:11,383 INFO Generando carga por departamento...
[eda-original] 2026-05-10 15:38:11,901 INFO Generando tiempo de resolución...
[eda-original] 2026-05-10 15:38:12,741 INFO Generando tipos de resolución...
[eda-original] 2026-05-10 15:38:12,929 INFO Generando heatmap Proceso vs Fallo...
[eda-original] 2026-05-10 15:38:13,288 INFO Generando evolución de tiempo promedio...
[eda-original] 2026-05-10 15:38:13,538 INFO Generando tiempo por materia...
[eda-original] 2026-05-10 15:38:13,806 INFO Generando cluster Carga vs Tiempo...
